Date,Time,District,Container Number,Status,Empty Buckets,Flooded Buckets,Partially Filled Buckets,Outside Trash,Regular Containers,Plastic Containers,Hopper Containers,Filename,trash_bin_id
2024-11-17,01:41:00,railway,6657,1,2,0,0,0,0,2,0,20241117_6657_railway_01_000001_0141.jpg,1
2024-11-17,01:42:00,railway,6657,0,0,2,0,0,0,2,0,20241117_6657_railway_00_000002_0142.jpg,2
2024-11-12,01:44:00,proletarian,6641,1,3,0,0,0,1,2,0,20241112_6641_proletarian_01_000003_0144.jpg,3
2024-11-12,01:44:00,proletarian,6641,0,1,0,0,0,1,2,0,20241112_6641_proletarian_00_000004_0144.jpg,4
2024-11-12,01:45:00,soviet,5856,1,0,0,0,0,0,1,0,20241112_5856_soviet_01_000005_0145.jpg,5
2024-11-12,01:45:00,soviet,5856,0,0,1,0,0,0,1,0,20241112_5856_soviet_00_000006_0145.jpg,6
2024-11-12,01:46:00,railway,5248,1,5,0,0,0,0,4,0,20241112_5248_railway_01_000007_0146.jpg,7
2024-11-12,01:46:00,railway,5248,0,5,0,0,0,0,4,0,20241112_5248_railway_00_000008_0146.jpg,8
2024-11-12,01:47:00,railway,5248,0,0,5,0,0,0,3,0,20241112_5248_railway_00_000009_0147.jpg,9
2024-11-10,01:47:00,railway,6657,1,2,0,0,0,0,2,0,20241110_6657_railway_01_000010_0147.jpg,10
2024-11-10,01:48:00,railway,6657,0,1,1,0,0,0,2,0,20241110_6657_railway_00_000011_0148.jpg,11
2024-11-10,01:48:00,central,6656,1,1,0,0,0,0,1,0,20241110_6656_central_01_000012_0148.jpg,12
2024-11-10,01:48:00,central,6656,0,0,0,1,0,0,1,0,20241110_6656_central_00_000013_0148.jpg,13
2024-11-10,01:50:00,proletarian,6655,1,1,0,0,0,0,1,0,20241110_6655_proletarian_01_000014_0150.jpg,14
2024-11-10,01:50:00,proletarian,6655,0,1,0,0,0,0,1,0,20241110_6655_proletarian_00_000015_0150.jpg,15
2024-11-10,01:51:00,proletarian,6641,1,2,0,0,0,1,2,0,20241110_6641_proletarian_01_000016_0151.jpg,16
2024-11-10,01:51:00,proletarian,6641,0,0,1,0,0,1,2,0,20241110_6641_proletarian_00_000017_0151.jpg,17
2024-11-09,01:52:00,railway,6657,1,2,0,0,0,0,2,0,20241109_6657_railway_01_000018_0152.jpg,18
2024-11-09,01:52:00,railway,6657,0,1,1,0,0,0,2,0,20241109_6657_railway_00_000019_0152.jpg,19
2024-11-06,01:53:00,proletarian,4148,1,3,0,0,0,0,2,0,20241106_4148_proletarian_01_000020_0153.jpg,20
2024-11-06,01:53:00,proletarian,4148,0,1,0,1,0,0,2,0,20241106_4148_proletarian_00_000021_0153.jpg,21
2024-11-01,01:54:00,railway,6657,1,2,0,0,0,0,2,0,20241101_6657_railway_01_000022_0154.jpg,22
2024-11-01,01:54:00,railway,6657,0,0,2,0,0,0,2,0,20241101_6657_railway_00_000023_0154.jpg,23
